
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 35	Lines 35 Profile Sample	1454	 6	35	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 35	Lines 35 Profile Sample	1451.15	 6	35	0.0894	1	0.0479	Line Profile Sample
Line Profile Sample 3 for Lines 35	Lines 35 Profile Sample	1355.76	 6	35	0.179	2	0.0958	Line Profile Sample
Line Profile Sample 4 for Lines 35	Lines 35 Profile Sample	1304.81	 6	35	0.268	3	0.144	Line Profile Sample
Line Profile Sample 5 for Lines 35	Lines 35 Profile Sample	1286.69	 6	35	0.357	4	0.192	Line Profile Sample
Line Profile Sample 6 for Lines 35	Lines 35 Profile Sample	1315.18	 6	35	0.447	5	0.239	Line Profile Sample
Line Profile Sample 7 for Lines 35	Lines 35 Profile Sample	1343.07	 6	35	0.536	6	0.287	Line Profile Sample
Line Profile Sample 8 for Lines 35	Lines 35 Profile Sample	1395.41	 6	35	0.626	7	0.335	Line Profile Sample
Line Profile Sample 9 for Lines 35	Lines 35 Profile Sample	1486.42	 6	35	0.715	8	0.383	Line Profile Sample
Line Profile Sample 10 for Lines 35	Lines 35 Profile Sample	1518.71	 6	35	0.804	9	0.431	Line Profile Sample
Line Profile Sample 11 for Lines 35	Lines 35 Profile Sample	1536.47	 6	35	0.894	10	0.479	Line Profile Sample
Line Profile Sample 12 for Lines 35	Lines 35 Profile Sample	1558.75	 6	35	0.983	11	0.527	Line Profile Sample
Line Profile Sample 13 for Lines 35	Lines 35 Profile Sample	1606.11	 6	35	1.07	12	0.575	Line Profile Sample
Line Profile Sample 14 for Lines 35	Lines 35 Profile Sample	1625.12	 6	35	1.16	13	0.623	Line Profile Sample
Line Profile Sample 15 for Lines 35	Lines 35 Profile Sample	1641.55	 6	35	1.25	14	0.67	Line Profile Sample
Line Profile Sample 16 for Lines 35	Lines 35 Profile Sample	1647.73	 6	35	1.34	15	0.718	Line Profile Sample
Line Profile Sample 17 for Lines 35	Lines 35 Profile Sample	1607.48	 6	35	1.43	16	0.766	Line Profile Sample
Line Profile Sample 18 for Lines 35	Lines 35 Profile Sample	1520.31	 6	35	1.52	17	0.814	Line Profile Sample
Line Profile Sample 19 for Lines 35	Lines 35 Profile Sample	1459.96	 6	35	1.61	18	0.862	Line Profile Sample
Line Profile Sample 20 for Lines 35	Lines 35 Profile Sample	1404.13	 6	35	1.7	19	0.91	Line Profile Sample
Line Profile Sample 21 for Lines 35	Lines 35 Profile Sample	1370.56	 6	35	1.79	20	0.958	Line Profile Sample
Line Profile Sample 22 for Lines 35	Lines 35 Profile Sample	1331	 6	35	1.87	20.88	1	Line Profile Sample
