
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 26	Lines 26 Profile Sample	1118	 78	26	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 26	Lines 26 Profile Sample	1108.91	 78	26	0.0894	1	0.0614	Line Profile Sample
Line Profile Sample 3 for Lines 26	Lines 26 Profile Sample	1122.95	 78	26	0.179	2	0.123	Line Profile Sample
Line Profile Sample 4 for Lines 26	Lines 26 Profile Sample	1149.75	 78	26	0.268	3	0.184	Line Profile Sample
Line Profile Sample 5 for Lines 26	Lines 26 Profile Sample	1203.54	 78	26	0.357	4	0.246	Line Profile Sample
Line Profile Sample 6 for Lines 26	Lines 26 Profile Sample	1193.77	 78	26	0.447	5	0.307	Line Profile Sample
Line Profile Sample 7 for Lines 26	Lines 26 Profile Sample	1176.4	 78	26	0.536	6	0.369	Line Profile Sample
Line Profile Sample 8 for Lines 26	Lines 26 Profile Sample	1170.08	 78	26	0.626	7	0.43	Line Profile Sample
Line Profile Sample 9 for Lines 26	Lines 26 Profile Sample	1158.51	 78	26	0.715	8	0.491	Line Profile Sample
Line Profile Sample 10 for Lines 26	Lines 26 Profile Sample	1148.24	 78	26	0.804	9	0.553	Line Profile Sample
Line Profile Sample 11 for Lines 26	Lines 26 Profile Sample	1204.56	 78	26	0.894	10	0.614	Line Profile Sample
Line Profile Sample 12 for Lines 26	Lines 26 Profile Sample	1242.97	 78	26	0.983	11	0.676	Line Profile Sample
Line Profile Sample 13 for Lines 26	Lines 26 Profile Sample	1286.94	 78	26	1.07	12	0.737	Line Profile Sample
Line Profile Sample 14 for Lines 26	Lines 26 Profile Sample	1368.05	 78	26	1.16	13	0.799	Line Profile Sample
Line Profile Sample 15 for Lines 26	Lines 26 Profile Sample	1489.57	 78	26	1.25	14	0.86	Line Profile Sample
Line Profile Sample 16 for Lines 26	Lines 26 Profile Sample	1591.56	 78	26	1.34	15	0.921	Line Profile Sample
Line Profile Sample 17 for Lines 26	Lines 26 Profile Sample	1602.86	 78	26	1.43	16	0.983	Line Profile Sample
Line Profile Sample 18 for Lines 26	Lines 26 Profile Sample	1595	 78	26	1.45	16.28	1	Line Profile Sample
