
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1041	40	0	0	0
Line Profile Sample 2 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1159.79	40	0.0894	1	0.0502
Line Profile Sample 3 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1240	40	0.179	2	0.1
Line Profile Sample 4 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1331.32	40	0.268	3	0.151
Line Profile Sample 5 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1351.4	40	0.357	4	0.201
Line Profile Sample 6 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1377.99	40	0.447	5	0.251
Line Profile Sample 7 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1390.46	40	0.536	6	0.301
Line Profile Sample 8 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1411.01	40	0.626	7	0.351
Line Profile Sample 9 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1434.51	40	0.715	8	0.402
Line Profile Sample 10 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1432.87	40	0.804	9	0.452
Line Profile Sample 11 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1416.58	40	0.894	10	0.502
Line Profile Sample 12 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1434.28	40	0.983	11	0.552
Line Profile Sample 13 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1440.54	40	1.07	12	0.602
Line Profile Sample 14 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1435.12	40	1.16	13	0.652
Line Profile Sample 15 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1431.76	40	1.25	14	0.703
Line Profile Sample 16 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1427.55	40	1.34	15	0.753
Line Profile Sample 17 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1398.36	40	1.43	16	0.803
Line Profile Sample 18 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1389.86	40	1.52	17	0.853
Line Profile Sample 19 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1370.77	40	1.61	18	0.903
Line Profile Sample 20 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1302.56	40	1.7	19	0.954
Line Profile Sample 21 for Lines 40	Lines 40 Profile Sample	Line Profile Sample	 15	1236	40	1.78	19.92	1
