
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 10	Lines 10 Profile Sample	590	 58	10	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 10	Lines 10 Profile Sample	696.68	 58	10	0.0894	1	0.0312	Line Profile Sample
Line Profile Sample 3 for Lines 10	Lines 10 Profile Sample	762.07	 58	10	0.179	2	0.0625	Line Profile Sample
Line Profile Sample 4 for Lines 10	Lines 10 Profile Sample	761.45	 58	10	0.268	3	0.0937	Line Profile Sample
Line Profile Sample 5 for Lines 10	Lines 10 Profile Sample	749.03	 58	10	0.357	4	0.125	Line Profile Sample
Line Profile Sample 6 for Lines 10	Lines 10 Profile Sample	738.26	 58	10	0.447	5	0.156	Line Profile Sample
Line Profile Sample 7 for Lines 10	Lines 10 Profile Sample	736.02	 58	10	0.536	6	0.187	Line Profile Sample
Line Profile Sample 8 for Lines 10	Lines 10 Profile Sample	743.25	 58	10	0.626	7	0.219	Line Profile Sample
Line Profile Sample 9 for Lines 10	Lines 10 Profile Sample	739.04	 58	10	0.715	8	0.25	Line Profile Sample
Line Profile Sample 10 for Lines 10	Lines 10 Profile Sample	735.47	 58	10	0.804	9	0.281	Line Profile Sample
Line Profile Sample 11 for Lines 10	Lines 10 Profile Sample	739.56	 58	10	0.894	10	0.312	Line Profile Sample
Line Profile Sample 12 for Lines 10	Lines 10 Profile Sample	738	 58	10	0.983	11	0.344	Line Profile Sample
Line Profile Sample 13 for Lines 10	Lines 10 Profile Sample	734.15	 58	10	1.07	12	0.375	Line Profile Sample
Line Profile Sample 14 for Lines 10	Lines 10 Profile Sample	747.94	 58	10	1.16	13	0.406	Line Profile Sample
Line Profile Sample 15 for Lines 10	Lines 10 Profile Sample	757.13	 58	10	1.25	14	0.437	Line Profile Sample
Line Profile Sample 16 for Lines 10	Lines 10 Profile Sample	753.7	 58	10	1.34	15	0.469	Line Profile Sample
Line Profile Sample 17 for Lines 10	Lines 10 Profile Sample	748.92	 58	10	1.43	16	0.5	Line Profile Sample
Line Profile Sample 18 for Lines 10	Lines 10 Profile Sample	744.93	 58	10	1.52	17	0.531	Line Profile Sample
Line Profile Sample 19 for Lines 10	Lines 10 Profile Sample	729.65	 58	10	1.61	18	0.562	Line Profile Sample
Line Profile Sample 20 for Lines 10	Lines 10 Profile Sample	715.74	 58	10	1.7	19	0.593	Line Profile Sample
Line Profile Sample 21 for Lines 10	Lines 10 Profile Sample	688.14	 58	10	1.79	20	0.625	Line Profile Sample
Line Profile Sample 22 for Lines 10	Lines 10 Profile Sample	679.56	 58	10	1.88	21	0.656	Line Profile Sample
Line Profile Sample 23 for Lines 10	Lines 10 Profile Sample	685.71	 58	10	1.97	22	0.687	Line Profile Sample
Line Profile Sample 24 for Lines 10	Lines 10 Profile Sample	690.2	 58	10	2.06	23	0.718	Line Profile Sample
Line Profile Sample 25 for Lines 10	Lines 10 Profile Sample	693.85	 58	10	2.14	24	0.75	Line Profile Sample
Line Profile Sample 26 for Lines 10	Lines 10 Profile Sample	695.88	 58	10	2.23	25	0.781	Line Profile Sample
Line Profile Sample 27 for Lines 10	Lines 10 Profile Sample	686.7	 58	10	2.32	26	0.812	Line Profile Sample
Line Profile Sample 28 for Lines 10	Lines 10 Profile Sample	686.89	 58	10	2.41	27	0.843	Line Profile Sample
Line Profile Sample 29 for Lines 10	Lines 10 Profile Sample	697.71	 58	10	2.5	28	0.875	Line Profile Sample
Line Profile Sample 30 for Lines 10	Lines 10 Profile Sample	709.6	 58	10	2.59	29	0.906	Line Profile Sample
Line Profile Sample 31 for Lines 10	Lines 10 Profile Sample	727.64	 58	10	2.68	30	0.937	Line Profile Sample
Line Profile Sample 32 for Lines 10	Lines 10 Profile Sample	716.84	 58	10	2.77	31	0.968	Line Profile Sample
Line Profile Sample 33 for Lines 10	Lines 10 Profile Sample	727.81	 58	10	2.86	32	1	Line Profile Sample
Line Profile Sample 34 for Lines 10	Lines 10 Profile Sample	728	 58	10	2.86	32.02	1	Line Profile Sample
